"Y Wu, D Zou, S Dou, W Yang, D Xu, H Jin - Proceedings of the 44th …, 2022 - dl.acm.org",Vulcnn: An image-inspired scalable vulnerability detection systemCCF A
"Z Liu, P Qian, X Wang, Y Zhuang… - IEEE Transactions on …, 2021 - ",Combining graph neural networks with expert knowledge for smart contract vulnerability detection
"VA Nguyen, DQ Nguyen, V Nguyen, T Le… - Proceedings of the …, 2022 - dl.acm.org",Regvd: Revisiting graph neural networks for vulnerability detection
"Y Zheng, S Pujar, B Lewis, L Buratti… - 2021 IEEE/ACM …, 2021 - ",D2a: A dataset built for ai-based vulnerability detection methods using differential analysis
"J Huang, K Zhou, A Xiong, D Li - Sensors, 2022 - mdpi.com",[HTML] Smart contract vulnerability detection model based on multi-task learning
"H Sun, L Cui, L Li, Z Ding, Z Hao, J Cui, P Liu - Computers & Security, 2021 - ",VDSimilar: Vulnerability detection based on code similarity of vulnerabilities and patches
"S Lipp, S Banescu, A Pretschner - Proceedings of the 31st ACM …, 2022 - dl.acm.org",An empirical study on the effectiveness of static C code analyzers for vulnerability detection
"X Cheng, G Zhang, H Wang, Y Sui - Proceedings of the 31st ACM …, 2022 - dl.acm.org",Path-sensitive code embedding via contrastive learning for software vulnerability detection
"S Cao, X Sun, L Bo, R Wu, B Li, C Tao - Proceedings of the 44th …, 2022 - dl.acm.org",MVD: memory-related vulnerability detection based on flow-sensitive graph neural networks
"H Hanif, S Maffeis - 2022 International joint conference on …, 2022 - ",Vulberta: Simplified source code pre-training for vulnerability detection
"X Li, L Wang, Y Xin, Y Yang, Q Tang, Y Chen - Applied Sciences, 2021 - mdpi.com",[HTML] Automated software vulnerability detection based on hybrid neural network
"L Zhang, J Wang, W Wang, Z Jin, C Zhao, Z Cai… - Sensors, 2022 - mdpi.com",[HTML] A novel smart contract vulnerability detection method based on information graph and ensemble learning
"C Thapa, SI Jang, ME Ahmed, S Camtepe… - Proceedings of the 38th …, 2022 - dl.acm.org",Transformer-based language models for software vulnerability detection
"X Yu, H Zhao, B Hou, Z Ying… - 2021 International Joint …, 2021 - ",Deescvhunter: A deep learning-based framework for smart contract vulnerability detection
"P Qian, Z Liu, Q He, B Huang, D Tian… - arXiv preprint arXiv …, 2022 - arxiv.org",Smart contract vulnerability detection technique: A survey
"N Ziems, S Wu - IEEE INFOCOM 2021-IEEE Conference on …, 2021 - ",Security vulnerability detection using deep learning natural language processing
"H Wu, Z Zhang, S Wang, Y Lei, B Lin… - 2021 IEEE 32nd …, 2021 - ",Peculiar: Smart contract vulnerability detection based on crucial data flow graph and pre-training techniques
